Q1_LikelihoodToStay,Q2_Age,Q3_Gender,Q4_Education,Q5_JobLevel,Q6_Department,Q7_TenureYears,Q8_SalaryBand,Q9_WeeklyHours,Q10_WorkArrangement,Q11_CommuteMin,Q12_JobSatisfaction,Q13_WorkLifeBalance,Q14_CareerGrowthSat,Q15_ManagerRelationship,Q16_CultureAlignment,Q17_ReasonsLeave,Q18_MotivatorsStay,Q19_TrainingHours,Q20_Recommend,Q21_SwitchFor15Raise,Q22_RetentionInitiatives
4,43,Male,Bachelor’s,Senior,Finance,2.4,180–250k,35,Fully Remote,0,4,3,4,4,2,"Culture misfit, Manager conflict","Benefits, Team culture",38,No,Yes,Mentorship
5,37,Non-binary,Diploma,Mid,Marketing,9.8,120–180k,41,Hybrid,33,4,3,5,5,4,Benefits,Competitive pay,16,Yes,No,"Remote option, Wellness programs"
4,42,Female,Bachelor’s,Senior,Engineering,7.2,120–180k,53,Hybrid,127,5,4,3,2,4,"Limited growth, Lack of flexibility, Workload stress","Other, Manager support",12,Yes,Yes,"Other, Remote option, Flexible hours"
3,21,Female,Master’s,Mid,Other,2.7,75–120k,50,On-site,35,5,4,3,2,5,"Workload stress, Low pay, Lack of flexibility","Team culture, Recognition",15,No,Yes,"Childcare support, Career roadmap"
3,37,Female,Bachelor’s,Senior,Sales,6.7,>250k,45,On-site,22,3,3,4,3,4,"Lack of flexibility, Manager conflict",Team culture,13,Yes,No,"Wellness programs, Remote option"
3,29,Female,Bachelor’s,Entry,Product,9.7,<75k,54,On-site,25,3,3,3,5,2,Low pay,"Growth path, Manager support, Flexible work",22,Yes,Maybe,"Career roadmap, Wellness programs, Salary review"
4,26,Female,Master’s,Mid,Engineering,0.7,75–120k,39,On-site,41,5,4,2,2,5,Culture misfit,Manager support,7,Yes,Yes,"Other, Childcare support"
4,27,Female,Bachelor’s,Mid,Engineering,8.6,75–120k,53,On-site,42,5,2,2,5,4,"Limited growth, Culture misfit, Commute","Benefits, Growth path, Team culture",22,No,No,"Mentorship, Career roadmap, Childcare support"
3,23,Female,Master’s,Mid,Engineering,0.7,180–250k,49,On-site,25,4,5,2,1,3,Culture misfit,Other,24,Yes,Yes,Childcare support
3,35,Male,Bachelor’s,Mid,HR,3.7,120–180k,44,On-site,23,2,5,4,1,3,"Low pay, Benefits, Workload stress",Recognition,22,Yes,Yes,"Flexible hours, Career roadmap"
5,27,Male,Bachelor’s,Senior,Marketing,2.2,180–250k,46,Fully Remote,0,5,5,4,3,4,"Low pay, Commute","Flexible work, Other",28,No,Maybe,"Childcare support, Remote option, Mentorship"
3,32,Female,Bachelor’s,Mid,Engineering,2.1,120–180k,53,On-site,37,4,3,4,3,3,"Other, Workload stress, Lack of flexibility","Growth path, Flexible work",25,Yes,Yes,Mentorship
2,29,Male,Diploma,Mid,Sales,6.9,75–120k,41,Hybrid,47,3,2,2,2,2,"Other, Benefits, Commute","Recognition, Other",27,Yes,No,Flexible hours
4,28,Male,Bachelor’s,Mid,Sales,4.8,75–120k,53,Hybrid,24,3,5,5,3,3,Manager conflict,Growth path,27,Yes,No,"Salary review, Flexible hours, Wellness programs"
3,32,Male,Bachelor’s,Entry,IT Support,1.6,75–120k,48,On-site,37,4,2,4,2,4,Workload stress,"Team culture, Recognition, Purposeful work",15,Yes,Yes,"Wellness programs, Flexible hours, Remote option"
3,34,Male,Diploma,Entry,Engineering,11.9,<75k,38,On-site,26,4,4,3,2,3,"Low pay, Workload stress","Purposeful work, Manager support, Competitive pay",12,No,No,"Childcare support, Other, Career roadmap"
3,42,Male,Bachelor’s,Mid,Marketing,14.3,<75k,30,Fully Remote,0,4,4,2,4,2,"Workload stress, Culture misfit",Recognition,20,No,Yes,"Salary review, Career roadmap"
3,27,Male,Bachelor’s,Lead,Engineering,0.1,180–250k,47,On-site,61,4,4,3,1,4,"Manager conflict, Lack of flexibility","Growth path, Manager support, Purposeful work",8,Yes,Maybe,Salary review
4,37,Female,Bachelor’s,Mid,Finance,0.9,120–180k,43,On-site,27,5,5,3,2,5,Other,Manager support,13,No,Maybe,"Salary review, Flexible hours"
4,34,Male,Bachelor’s,Entry,Product,2.8,<75k,55,On-site,22,3,2,3,4,4,"Manager conflict, Other","Recognition, Benefits",8,Yes,Maybe,"Wellness programs, Remote option, Childcare support"
4,24,Male,Diploma,Senior,HR,1.9,120–180k,45,Hybrid,39,4,2,4,4,4,"Culture misfit, Lack of flexibility, Limited growth","Benefits, Purposeful work",26,No,Yes,"Remote option, Salary review, Other"
3,33,Female,Doctorate,Senior,Sales,6.6,120–180k,47,On-site,51,3,3,3,3,3,Lack of flexibility,Purposeful work,17,Yes,Maybe,"Wellness programs, Remote option, Mentorship"
2,41,Male,Diploma,Senior,Product,5.4,120–180k,53,Hybrid,31,4,3,3,2,4,"Workload stress, Other","Other, Manager support, Growth path",19,Yes,Yes,"Salary review, Career roadmap, Other"
4,38,Female,Master’s,Senior,HR,1.5,<75k,56,On-site,34,1,3,3,5,5,Benefits,Recognition,4,Yes,Yes,Other
2,36,Male,Bachelor’s,Entry,Engineering,6.5,180–250k,49,On-site,28,2,1,3,4,4,"Culture misfit, Low pay",Other,14,Yes,Yes,"Career roadmap, Other, Remote option"
3,39,Male,Master’s,Senior,HR,8.0,180–250k,61,Hybrid,31,4,2,4,3,3,Limited growth,Other,20,Yes,Maybe,"Career roadmap, Childcare support, Remote option"
3,20,Male,Other,Management,Marketing,5.9,120–180k,52,On-site,44,3,5,2,4,4,"Manager conflict, Other, Workload stress","Growth path, Competitive pay, Manager support",31,Yes,Maybe,"Salary review, Wellness programs"
5,63,Male,Bachelor’s,Mid,Engineering,2.6,120–180k,59,On-site,48,5,4,5,4,4,"Limited growth, Low pay",Recognition,28,Yes,Maybe,"Other, Remote option, Salary review"
4,24,Male,Doctorate,Mid,Sales,2.4,75–120k,43,On-site,41,5,4,3,5,5,"Low pay, Workload stress, Benefits","Competitive pay, Recognition",22,No,Yes,"Childcare support, Salary review, Remote option"
4,41,Female,Other,Entry,IT Support,4.6,75–120k,45,On-site,23,5,5,5,5,2,"Lack of flexibility, Benefits, Culture misfit","Flexible work, Growth path, Team culture",18,Yes,Maybe,Childcare support
3,21,Male,Bachelor’s,Entry,Engineering,3.5,75–120k,48,On-site,17,2,3,3,4,2,"Benefits, Lack of flexibility, Low pay","Team culture, Manager support, Recognition",12,Yes,Yes,"Childcare support, Flexible hours"
3,36,Male,Master’s,Entry,Engineering,0.4,75–120k,43,On-site,32,2,4,3,4,2,Limited growth,Team culture,46,No,Maybe,"Remote option, Wellness programs, Mentorship"
2,29,Male,Bachelor’s,Mid,HR,12.5,120–180k,80,On-site,44,5,4,3,2,4,"Limited growth, Workload stress",Flexible work,21,Yes,Maybe,"Childcare support, Salary review, Other"
4,22,Female,Bachelor’s,Lead,Product,2.3,120–180k,30,On-site,52,4,4,3,4,3,"Low pay, Commute","Purposeful work, Growth path",36,Yes,Maybe,Remote option
4,25,Male,Bachelor’s,Mid,Engineering,2.2,180–250k,51,Hybrid,25,4,3,2,4,5,Limited growth,Purposeful work,10,Yes,No,Wellness programs
3,26,Male,Bachelor’s,Lead,Engineering,4.6,180–250k,48,On-site,5,2,4,5,1,3,Culture misfit,Flexible work,14,No,Yes,"Childcare support, Other"
4,32,Male,Bachelor’s,Senior,Engineering,2.3,75–120k,56,On-site,22,4,3,5,4,4,"Workload stress, Commute, Other","Recognition, Manager support, Flexible work",8,Yes,Yes,"Career roadmap, Wellness programs"
3,29,Male,Master’s,Entry,Engineering,0.7,75–120k,42,On-site,11,2,3,5,3,4,"Commute, Benefits","Growth path, Recognition",27,Yes,Yes,"Salary review, Wellness programs, Mentorship"
4,40,Female,Bachelor’s,Lead,Product,4.0,120–180k,55,On-site,36,3,4,4,3,5,Benefits,"Manager support, Flexible work, Benefits",21,Yes,No,Childcare support
4,38,Male,Bachelor’s,Management,Engineering,7.6,>250k,53,On-site,22,3,3,3,5,5,"Other, Benefits","Competitive pay, Benefits, Manager support",17,Yes,Yes,"Flexible hours, Salary review, Other"
4,32,Male,Diploma,Entry,Sales,3.9,<75k,30,Hybrid,39,4,5,5,4,2,"Benefits, Lack of flexibility, Other","Growth path, Competitive pay",28,Yes,Yes,"Mentorship, Other, Remote option"
3,25,Male,Bachelor’s,Lead,IT Support,2.9,120–180k,49,On-site,23,3,5,2,4,4,"Low pay, Culture misfit",Team culture,9,No,Yes,Remote option
3,33,Male,Bachelor’s,Entry,Engineering,7.2,75–120k,45,Hybrid,52,5,3,3,1,5,"Culture misfit, Limited growth","Manager support, Benefits",28,Yes,No,"Flexible hours, Salary review, Remote option"
3,26,Male,Bachelor’s,Management,Engineering,4.1,75–120k,39,Hybrid,18,2,4,3,5,5,Other,Other,20,Yes,No,"Mentorship, Childcare support"
4,27,Male,Diploma,Senior,Sales,5.6,120–180k,34,On-site,35,4,3,3,5,3,Manager conflict,"Purposeful work, Other",154,Yes,Yes,"Flexible hours, Career roadmap, Salary review"
3,27,Male,Master’s,Mid,Product,5.3,75–120k,48,On-site,32,4,1,4,3,2,Commute,"Manager support, Benefits, Team culture",24,Yes,Maybe,Wellness programs
3,37,Female,Diploma,Mid,Engineering,5.8,<75k,46,On-site,5,5,5,4,3,3,"Limited growth, Workload stress","Growth path, Recognition",31,Yes,Yes,"Remote option, Career roadmap, Mentorship"
4,20,Female,Master’s,Entry,Product,2.6,<75k,42,On-site,11,4,4,5,3,5,"Other, Workload stress, Commute",Manager support,23,Yes,No,"Salary review, Childcare support"
4,39,Female,Bachelor’s,Senior,Sales,23.2,75–120k,59,Fully Remote,0,4,4,3,3,5,"Other, Culture misfit","Manager support, Purposeful work",26,Yes,Maybe,Flexible hours
4,20,Male,Bachelor’s,Entry,Engineering,4.1,120–180k,44,Hybrid,35,3,4,5,5,3,Other,"Flexible work, Manager support",12,No,No,"Flexible hours, Career roadmap"
3,34,Female,Master’s,Entry,IT Support,2.7,75–120k,39,Hybrid,17,3,2,2,3,4,Culture misfit,"Recognition, Purposeful work, Competitive pay",11,Yes,Yes,Career roadmap
2,42,Male,Bachelor’s,Entry,Finance,2.6,120–180k,40,On-site,7,1,4,1,4,3,Culture misfit,Recognition,33,No,Yes,"Wellness programs, Childcare support, Other"
3,45,Non-binary,Bachelor’s,Mid,HR,5.3,75–120k,42,On-site,44,5,3,3,5,5,Low pay,"Benefits, Team culture, Manager support",17,Yes,Yes,"Career roadmap, Remote option, Other"
3,29,Female,Diploma,Mid,HR,3.6,75–120k,39,On-site,15,4,5,4,2,2,Workload stress,"Competitive pay, Team culture",21,Yes,Yes,Mentorship
4,20,Female,Diploma,Entry,Product,1.5,<75k,49,Fully Remote,0,5,3,3,3,3,"Benefits, Culture misfit, Limited growth","Team culture, Purposeful work, Recognition",29,Yes,Maybe,Childcare support
3,30,Male,Master’s,Mid,Marketing,8.5,<75k,49,Hybrid,43,5,3,4,4,3,"Lack of flexibility, Low pay","Growth path, Manager support, Benefits",1,Yes,Maybe,Childcare support
4,31,Female,Master’s,Senior,Sales,5.2,<75k,37,Hybrid,21,3,5,2,2,5,"Lack of flexibility, Workload stress","Manager support, Benefits, Other",29,Yes,Yes,"Other, Salary review, Childcare support"
3,41,Female,Master’s,Mid,Product,11.5,120–180k,50,On-site,17,4,4,3,2,2,"Manager conflict, Workload stress","Team culture, Flexible work, Purposeful work",30,Yes,Yes,"Wellness programs, Remote option, Salary review"
4,27,Male,Doctorate,Mid,Sales,8.9,<75k,36,Hybrid,52,2,3,4,5,2,"Manager conflict, Benefits","Growth path, Other, Competitive pay",21,Yes,Maybe,"Mentorship, Career roadmap, Wellness programs"
4,27,Male,Bachelor’s,Mid,IT Support,16.4,120–180k,46,Hybrid,7,5,4,4,4,5,"Workload stress, Culture misfit",Recognition,11,No,Maybe,Flexible hours
3,43,Male,Master’s,Mid,Marketing,11.8,75–120k,38,On-site,33,4,4,2,1,4,Workload stress,Other,7,Yes,Yes,Other
2,43,Non-binary,Bachelor’s,Mid,Engineering,4.1,75–120k,32,On-site,48,2,3,2,2,5,"Culture misfit, Manager conflict, Low pay",Flexible work,34,Yes,No,"Wellness programs, Mentorship"
5,29,Male,Bachelor’s,Senior,Marketing,7.7,75–120k,37,Hybrid,33,4,4,4,5,4,"Commute, Low pay, Benefits","Team culture, Recognition, Other",27,Yes,Yes,"Career roadmap, Wellness programs"
3,50,Female,Bachelor’s,Entry,Other,1.4,<75k,53,On-site,57,2,2,4,4,3,Manager conflict,"Growth path, Competitive pay",31,No,Yes,Childcare support
3,49,Male,Bachelor’s,Senior,IT Support,3.6,120–180k,38,Hybrid,46,4,2,4,4,3,"Limited growth, Low pay","Growth path, Competitive pay, Flexible work",16,No,No,"Career roadmap, Wellness programs"
3,25,Female,Bachelor’s,Senior,Sales,8.8,>250k,40,Hybrid,25,5,3,2,3,4,"Other, Workload stress, Culture misfit",Team culture,24,No,No,Wellness programs
4,20,Male,Bachelor’s,Lead,Product,2.0,180–250k,60,On-site,20,5,4,4,5,2,Commute,"Purposeful work, Recognition, Competitive pay",44,No,Maybe,Other
3,20,Male,Bachelor’s,Entry,HR,1.4,<75k,62,Fully Remote,0,4,2,5,4,2,"Workload stress, Limited growth, Low pay","Flexible work, Competitive pay, Growth path",31,Yes,Maybe,"Career roadmap, Flexible hours, Remote option"
4,40,Male,Bachelor’s,Entry,Product,1.8,75–120k,46,Hybrid,57,5,4,3,5,2,Lack of flexibility,"Team culture, Growth path",15,No,No,"Flexible hours, Mentorship, Childcare support"
3,20,Male,Doctorate,Senior,Sales,2.0,120–180k,41,On-site,31,5,3,3,3,1,Commute,Growth path,14,Yes,No,Salary review
4,43,Male,Master’s,Mid,Finance,8.9,75–120k,49,Fully Remote,0,4,4,3,4,4,Workload stress,Other,34,No,Maybe,"Childcare support, Flexible hours, Remote option"
5,39,Male,Bachelor’s,Entry,Engineering,1.2,<75k,43,Hybrid,23,4,3,5,2,4,"Lack of flexibility, Limited growth, Commute","Competitive pay, Flexible work, Growth path",36,No,No,"Flexible hours, Mentorship"
3,38,Male,Diploma,Entry,Engineering,3.9,75–120k,41,On-site,39,2,2,2,4,3,"Low pay, Lack of flexibility",Team culture,23,Yes,Yes,"Mentorship, Other, Remote option"
3,41,Male,Diploma,Senior,Marketing,0.3,120–180k,42,On-site,29,2,2,5,4,4,"Manager conflict, Workload stress, Low pay","Competitive pay, Recognition",10,Yes,Yes,"Salary review, Remote option, Other"
4,38,Male,Bachelor’s,Lead,Engineering,7.8,120–180k,49,Fully Remote,0,3,3,3,5,2,"Limited growth, Manager conflict","Recognition, Purposeful work, Other",16,No,No,Career roadmap
3,26,Male,Bachelor’s,Senior,Finance,1.7,120–180k,48,On-site,31,2,4,3,2,2,"Lack of flexibility, Culture misfit, Other",Growth path,20,Yes,No,"Flexible hours, Career roadmap"
4,24,Male,Bachelor’s,Mid,Sales,1.1,75–120k,47,Hybrid,38,1,3,4,4,3,"Lack of flexibility, Benefits","Benefits, Other, Recognition",11,Yes,Maybe,Remote option
3,36,Female,Bachelor’s,Mid,Engineering,2.3,75–120k,32,On-site,29,3,4,1,4,5,"Lack of flexibility, Benefits",Other,17,No,Yes,"Career roadmap, Mentorship"
4,33,Female,Bachelor’s,Mid,Sales,3.6,120–180k,45,Hybrid,32,5,3,4,5,4,"Low pay, Manager conflict, Benefits","Flexible work, Growth path",29,No,Yes,"Salary review, Wellness programs"
3,28,Male,Bachelor’s,Mid,Sales,13.1,<75k,35,On-site,12,3,3,5,1,4,"Other, Manager conflict",Manager support,20,No,Maybe,Salary review
4,41,Male,Master’s,Senior,IT Support,6.0,75–120k,42,Fully Remote,0,3,3,2,5,4,Benefits,"Growth path, Team culture",8,Yes,No,Mentorship
4,27,Male,Bachelor’s,Management,Marketing,8.0,180–250k,50,Hybrid,38,5,3,2,4,4,"Limited growth, Low pay","Competitive pay, Flexible work",6,Yes,Maybe,"Childcare support, Mentorship, Salary review"
4,28,Female,Master’s,Mid,Product,0.5,<75k,45,On-site,30,4,5,5,2,5,"Commute, Culture misfit",Competitive pay,4,Yes,Yes,"Career roadmap, Mentorship, Childcare support"
5,26,Male,Bachelor’s,Senior,IT Support,3.6,180–250k,48,On-site,36,4,5,4,3,4,"Manager conflict, Other","Other, Competitive pay, Recognition",21,Yes,Yes,"Other, Remote option, Career roadmap"
5,41,Female,Bachelor’s,Management,Engineering,2.1,>250k,51,On-site,24,4,4,4,3,5,Low pay,"Competitive pay, Manager support",17,No,No,Remote option
4,25,Female,Bachelor’s,Entry,HR,2.6,75–120k,55,Fully Remote,0,4,2,5,4,4,"Low pay, Manager conflict, Commute","Benefits, Flexible work",18,Yes,Maybe,"Wellness programs, Career roadmap, Salary review"
2,38,Male,Bachelor’s,Lead,Engineering,3.9,120–180k,46,On-site,28,4,3,2,1,4,Culture misfit,"Team culture, Flexible work, Recognition",23,Yes,No,"Mentorship, Salary review, Career roadmap"
3,23,Male,Bachelor’s,Mid,IT Support,24.9,>250k,63,On-site,32,4,2,3,4,2,"Workload stress, Lack of flexibility",Competitive pay,14,No,No,Flexible hours
3,48,Male,Bachelor’s,Senior,Sales,7.1,120–180k,31,Fully Remote,0,3,2,3,3,3,"Benefits, Limited growth","Team culture, Benefits",24,Yes,Yes,"Other, Wellness programs"
2,36,Male,Bachelor’s,Mid,Engineering,4.2,120–180k,40,On-site,33,5,3,2,2,1,"Lack of flexibility, Manager conflict, Other","Flexible work, Purposeful work, Other",32,Yes,Yes,Salary review
4,49,Male,Master’s,Lead,Engineering,2.1,180–250k,44,Fully Remote,0,4,3,4,5,5,"Low pay, Workload stress, Commute","Recognition, Growth path",22,Yes,Yes,"Flexible hours, Other, Remote option"
3,44,Male,Bachelor’s,Mid,Finance,7.6,75–120k,41,On-site,32,3,3,3,5,5,"Lack of flexibility, Culture misfit, Low pay","Recognition, Other",6,Yes,Maybe,Salary review
3,31,Non-binary,Diploma,Mid,Engineering,1.5,<75k,41,Hybrid,32,2,5,3,5,2,"Culture misfit, Benefits","Other, Purposeful work",33,Yes,No,"Mentorship, Flexible hours, Other"
3,31,Female,Doctorate,Lead,Finance,3.2,120–180k,46,On-site,41,2,4,2,3,4,Limited growth,"Flexible work, Purposeful work",0,Yes,No,Wellness programs
3,44,Male,Bachelor’s,Entry,Product,2.3,120–180k,44,Fully Remote,0,3,1,2,3,5,Benefits,"Flexible work, Purposeful work, Growth path",24,Yes,Yes,Childcare support
3,33,Female,Bachelor’s,Senior,Engineering,4.2,>250k,54,On-site,35,3,3,4,3,2,"Commute, Manager conflict",Competitive pay,32,Yes,Maybe,"Remote option, Salary review"
4,31,Male,Bachelor’s,Senior,Marketing,2.7,120–180k,41,On-site,36,5,2,2,5,3,"Culture misfit, Manager conflict, Low pay",Recognition,8,Yes,Yes,Other
4,22,Male,Diploma,Entry,Engineering,5.8,120–180k,44,On-site,27,3,5,2,5,3,"Commute, Limited growth, Lack of flexibility","Purposeful work, Flexible work, Manager support",23,Yes,No,"Salary review, Remote option"
3,46,Male,Bachelor’s,Lead,Engineering,16.9,180–250k,48,Hybrid,28,4,5,1,3,4,Limited growth,Benefits,27,Yes,No,"Mentorship, Career roadmap, Salary review"
4,20,Non-binary,Bachelor’s,Mid,Product,1.6,75–120k,50,On-site,36,3,5,3,4,5,"Manager conflict, Culture misfit","Growth path, Purposeful work",33,No,No,"Remote option, Salary review, Mentorship"
2,31,Male,Bachelor’s,Senior,Sales,8.1,120–180k,35,Hybrid,35,4,3,3,4,4,Low pay,"Growth path, Purposeful work",11,No,No,Career roadmap
4,48,Male,Bachelor’s,Entry,Engineering,4.4,<75k,52,Hybrid,35,2,4,4,4,4,"Benefits, Lack of flexibility, Other","Other, Manager support",20,Yes,Yes,"Childcare support, Salary review, Mentorship"
3,29,Female,Bachelor’s,Mid,Finance,4.3,75–120k,54,On-site,28,5,2,4,5,2,Limited growth,"Growth path, Team culture, Purposeful work",7,Yes,Maybe,"Career roadmap, Mentorship"
3,51,Male,Bachelor’s,Entry,Engineering,5.7,75–120k,39,Fully Remote,0,4,5,4,3,2,Commute,"Flexible work, Purposeful work",38,No,Maybe,"Mentorship, Salary review"
5,28,Male,Bachelor’s,Senior,Engineering,10.1,180–250k,33,Fully Remote,0,4,4,2,4,4,Lack of flexibility,"Team culture, Other",17,No,Maybe,"Flexible hours, Childcare support, Other"
4,35,Male,Master’s,Entry,Engineering,0.3,75–120k,31,Hybrid,24,3,5,5,4,3,"Benefits, Limited growth",Manager support,0,No,No,"Other, Childcare support, Career roadmap"
3,34,Female,Bachelor’s,Entry,Other,2.9,75–120k,44,On-site,10,2,2,5,3,2,"Other, Benefits",Other,35,Yes,Yes,Mentorship
3,26,Male,Diploma,Senior,Engineering,4.3,120–180k,41,On-site,38,1,3,4,4,3,"Manager conflict, Commute, Workload stress","Other, Purposeful work",13,Yes,Maybe,Mentorship
3,35,Non-binary,Other,Lead,Marketing,2.8,120–180k,39,On-site,55,4,3,3,5,2,"Other, Lack of flexibility, Workload stress",Team culture,28,Yes,Maybe,"Salary review, Mentorship"
4,21,Male,Master’s,Mid,Sales,4.7,<75k,44,Hybrid,34,2,4,5,4,2,Manager conflict,"Recognition, Team culture, Benefits",34,Yes,Maybe,"Salary review, Mentorship, Flexible hours"
3,36,Female,Bachelor’s,Entry,Engineering,6.8,120–180k,79,On-site,43,2,3,4,3,4,"Commute, Benefits","Benefits, Manager support",19,Yes,Maybe,"Childcare support, Career roadmap, Salary review"
4,66,Male,Master’s,Mid,Sales,2.8,<75k,55,Fully Remote,0,2,4,5,3,5,"Commute, Limited growth","Growth path, Benefits",17,Yes,Yes,"Career roadmap, Wellness programs"
4,37,Male,Doctorate,Mid,Engineering,7.7,75–120k,51,Hybrid,28,3,3,3,5,4,Low pay,"Purposeful work, Benefits, Manager support",20,Yes,Maybe,"Career roadmap, Remote option"
3,35,Female,Bachelor’s,Lead,Engineering,8.3,180–250k,38,On-site,19,2,3,4,2,3,"Manager conflict, Lack of flexibility, Culture misfit","Recognition, Manager support, Benefits",27,Yes,Maybe,Remote option
4,28,Female,Bachelor’s,Mid,Marketing,11.6,75–120k,39,On-site,42,1,3,5,3,4,"Workload stress, Lack of flexibility, Culture misfit",Recognition,32,No,No,"Childcare support, Other"
3,47,Female,Master’s,Mid,Sales,5.0,<75k,44,Fully Remote,0,4,2,4,3,5,"Limited growth, Culture misfit",Growth path,25,Yes,Maybe,Childcare support
4,20,Male,Master’s,Mid,Engineering,4.0,75–120k,43,On-site,48,2,3,5,3,5,Lack of flexibility,"Manager support, Flexible work",6,No,No,Other
3,48,Prefer not to say,Diploma,Entry,HR,2.7,<75k,41,On-site,34,4,3,1,4,1,"Commute, Manager conflict",Flexible work,23,No,Maybe,Remote option
3,20,Male,Master’s,Lead,Engineering,18.9,>250k,45,On-site,36,3,5,2,4,3,"Low pay, Other","Recognition, Benefits, Competitive pay",13,No,No,"Mentorship, Salary review, Wellness programs"
3,64,Male,Bachelor’s,Mid,Sales,2.1,75–120k,42,Fully Remote,0,5,3,4,5,1,"Workload stress, Limited growth","Other, Team culture",14,No,No,"Career roadmap, Mentorship"
5,34,Male,Bachelor’s,Senior,HR,13.6,75–120k,63,Fully Remote,0,5,2,4,3,4,"Workload stress, Lack of flexibility, Manager conflict","Recognition, Flexible work",21,No,No,"Salary review, Flexible hours"
4,21,Female,Bachelor’s,Mid,Engineering,9.5,120–180k,56,Hybrid,29,3,4,3,3,4,"Workload stress, Limited growth, Other","Competitive pay, Purposeful work, Benefits",21,Yes,Maybe,Salary review
3,34,Female,Bachelor’s,Mid,IT Support,5.3,120–180k,74,On-site,27,3,4,3,5,5,"Limited growth, Commute","Flexible work, Recognition",12,Yes,No,"Childcare support, Wellness programs"
3,33,Male,Bachelor’s,Senior,Engineering,5.4,75–120k,43,On-site,23,3,4,3,2,3,"Limited growth, Other","Growth path, Other",19,Yes,Maybe,"Mentorship, Remote option"
3,36,Male,Master’s,Senior,Marketing,3.8,180–250k,46,Hybrid,22,3,5,1,5,4,Culture misfit,"Recognition, Competitive pay",15,Yes,No,Other
4,43,Male,Bachelor’s,Mid,Engineering,0.7,75–120k,37,On-site,38,3,5,5,5,3,Commute,"Recognition, Manager support, Flexible work",18,Yes,Yes,Salary review
4,46,Female,Master’s,Mid,Marketing,3.8,<75k,31,Hybrid,19,4,3,5,3,3,Limited growth,Competitive pay,29,Yes,No,Wellness programs
3,39,Female,Doctorate,Entry,HR,1.2,<75k,30,Hybrid,26,5,4,4,4,2,Lack of flexibility,"Flexible work, Growth path",19,No,Yes,"Childcare support, Wellness programs"
4,34,Male,Bachelor’s,Mid,Engineering,0.9,120–180k,40,Hybrid,33,5,4,2,4,5,Workload stress,"Competitive pay, Flexible work, Other",38,Yes,Maybe,"Other, Flexible hours, Career roadmap"
3,29,Female,Diploma,Mid,Engineering,3.8,<75k,52,On-site,37,2,2,5,4,4,"Workload stress, Culture misfit, Manager conflict",Purposeful work,22,Yes,No,"Wellness programs, Salary review, Other"
4,37,Male,Bachelor’s,Entry,Engineering,8.1,<75k,49,Hybrid,28,5,4,2,4,3,Lack of flexibility,"Other, Growth path, Recognition",6,Yes,No,"Childcare support, Flexible hours"
4,26,Female,Diploma,Senior,HR,1.5,>250k,48,Hybrid,42,2,4,5,5,3,"Workload stress, Culture misfit, Benefits","Flexible work, Growth path",18,Yes,No,"Career roadmap, Salary review"
3,31,Male,Bachelor’s,Mid,IT Support,12.6,75–120k,39,Fully Remote,0,3,4,3,4,4,Limited growth,"Manager support, Other",20,Yes,Maybe,"Flexible hours, Mentorship"
4,24,Male,Master’s,Entry,Sales,0.5,75–120k,30,Fully Remote,0,3,3,5,5,3,Other,"Competitive pay, Growth path, Purposeful work",6,Yes,Yes,"Mentorship, Wellness programs"
3,32,Male,Bachelor’s,Entry,HR,8.5,<75k,41,On-site,24,4,5,1,1,4,Culture misfit,"Other, Manager support",14,Yes,Yes,"Flexible hours, Salary review"
5,21,Male,Master’s,Senior,Sales,6.1,180–250k,40,On-site,16,2,4,5,5,4,"Other, Lack of flexibility","Growth path, Competitive pay, Other",23,No,Maybe,"Childcare support, Salary review, Remote option"
3,39,Female,Diploma,Senior,IT Support,7.5,120–180k,46,On-site,29,4,2,4,2,3,"Manager conflict, Lack of flexibility",Purposeful work,28,Yes,Yes,"Flexible hours, Childcare support, Mentorship"
3,37,Male,Doctorate,Entry,Marketing,2.2,<75k,51,Hybrid,50,3,3,3,5,3,Other,"Competitive pay, Purposeful work, Manager support",10,No,Maybe,Remote option
3,36,Male,Master’s,Entry,Marketing,3.1,<75k,44,Fully Remote,0,4,3,2,3,2,"Lack of flexibility, Benefits, Manager conflict","Recognition, Team culture, Other",24,No,Yes,"Remote option, Flexible hours"
4,26,Female,Bachelor’s,Entry,Marketing,2.4,<75k,53,Hybrid,42,3,1,4,5,4,"Other, Lack of flexibility, Culture misfit","Other, Recognition, Growth path",34,No,No,"Wellness programs, Other, Flexible hours"
4,43,Non-binary,Other,Senior,Engineering,3.1,>250k,46,On-site,17,3,3,4,5,5,"Lack of flexibility, Limited growth, Benefits","Other, Manager support",39,No,Yes,"Childcare support, Wellness programs, Other"
3,38,Male,Diploma,Mid,IT Support,9.7,120–180k,51,On-site,47,2,5,3,4,3,Other,Competitive pay,5,Yes,Maybe,Mentorship
3,37,Female,Other,Mid,Engineering,4.4,75–120k,45,Hybrid,22,3,5,3,2,3,Low pay,"Team culture, Recognition, Purposeful work",17,Yes,No,"Flexible hours, Career roadmap"
3,48,Male,Other,Senior,Engineering,4.3,120–180k,37,Fully Remote,0,3,4,4,2,3,"Other, Benefits, Limited growth","Team culture, Competitive pay, Recognition",13,No,Maybe,"Wellness programs, Career roadmap, Salary review"
